Date,Call Vol,WeekNum,Digital,Print,Total,Avg7,Avg14,Avg21,Digital,Other,ALL INV,Dig7,Dig14,Dig21,,,,,,,,,,,Product Type,digital,print,TOTAL,,,,donation,Epoch_TV,magazine,other
8/9/21,,,,,,,,,14646,7021,21667,10419.42857,11913.42857,12815.47619,,,,,,,,,,,,,,,,,,,,,
8/10/21,,,,,,,,,16657,6818,23475,11451,12057.21429,12909.04762,,,,,,,,,,,,,,,,,,,,,
8/11/21,,,,,,,,,12927,6977,19904,11869.14286,12108.71429,12997.80952,,,,,,,,,,,,,,,,,,,,,
8/12/21,,,,,,,,,12813,8112,20925,12406.57143,12241.14286,12983.80952,,,,,,,,,,,,,,,,,,,,,
8/13/21,,,,,,,,,12686,6438,19124,12960.57143,12350.5,12835.09524,,,,,,,,,,,,,,,,,,,,,
8/14/21,,,,,,,,,13350,7048,20398,13506.14286,12492.57143,12385.57143,,,,,,,,,,,,,,,,,,,,,
8/15/21,,,,,,,,,13239,6495,19734,13759.71429,12353.71429,12167.61905,,,,,,,,,,,,,,,,,,,,,
8/16/21,,,,,,,,,12180,7137,19317,13407.42857,11958.14286,11941.80952,,,,,,,,,,,,,,,,,,,,,
8/17/21,,,,,,,,,11449,5577,17026,12663.42857,11452.21429,11714.71429,,,,,,,,,,,,,,,,,,,,,
8/18/21,,,,,,,,,10721,5775,16496,12348.28571,11141.92857,11485.2381,,,,,,,,,,,,,,,,,,,,,
8/19/21,,,,,,,,,10905,5768,16673,12075.71429,10967.35714,11210.80952,,,,,,,,,,,,,,,,,,,,,
8/20/21,,,,,,,,,10339,6064,16403,11740.42857,10876.28571,10990.38095,,,,,,,,,,,,,,,,,,,,,
8/21/21,,,,,,,,,11520,5525,17045,11479,10788.78571,10844.04762,,,,,,,,,,,,,,,,,,,,,
8/22/21,,,,,,,,,9520,7023,16543,10947.71429,10377.28571,10825.14286,,,,,,,,,,,,,,,,,,,,,
8/23/21,,,,,,,,,9108,5363,14471,10508.85714,10238.61538,10947.95238,,,,,,,,,,,,,,,,,,,,,
8/24/21,,,,,,,,,9574,5291,14865,10241,10137.75,11148.95238,,,,,,,,,,,,,,,,,,,,,
8/25/21,,,,,,,,,8583,4848,13431,9935.571429,10084.72727,11142.47619,,,,,,,,,,,,,,,,,,,,,
8/26/21,,,,,,,,,10369,5646,16015,9859,10002.7,11226.2381,,,,,,,,,,,,,,,,,,,,,
8/27/21,,,,,,,,,11411,5592,17003,10012.14286,9965.333333,11358.66667,,,,,,,,,,,,,,,,,,,,,
8/28/21,,,,,,,,,12125,5540,17665,10098.57143,9771,11487.66667,,,,,,,,,,,,,,,,,,,,,
8/29/21,,,,,,,,,7478,4115,11593,9806.857143,9806.857143,11647.47619,,,,,,,,,,,,,,,,,,,,,
